codice_istat,nome_comune,lat,lon
28001,Abano Terme,45.357746248042766,11.79757647938032
29001,Adria,45.05668512206157,12.053548953669338
23001,Affi,45.55848793197926,10.777496921446446
28002,Agna,45.1752636166778,11.956173433776911
25001,Agordo,46.30844658072171,12.056177798183839
24001,Agugliaro,45.32475777338883,11.585375194502628
23002,Albaredo d'Adige,45.29868784796283,11.300059253637118
24002,Albettone,45.35740790014521,11.595599431725107
28003,Albignasego,45.35589464348002,11.855973775316127
25003,Alleghe,46.40473893441264,12.041642633184567
24003,Alonte,45.35977675240563,11.433942833190608
25072,Alpago,46.14444366069838,12.360666748971758
24004,Altavilla Vicentina,45.50346387945739,11.475477025231546
24005,Altissimo,45.62364387902347,11.243479209899348
26001,Altivole,45.74962628396395,11.941745811235018
23003,Angiari,45.224936163811826,11.259553925167214
28004,Anguillara Veneta,45.146913126696305,11.903556759519887
27001,Annone Veneto,45.76433579733178,12.69705467233478
26002,Arcade,45.77969983362142,12.221742167891346
23004,Arcole,45.36595351692346,11.294220270949673
24006,Arcugnano,45.479881587572045,11.539409527456254
29002,Ariano nel Polesine,44.89320521977308,12.286874091848661
28005,ArquÃ  Petrarca,45.266737459998204,11.721062733074719
29003,ArquÃ  Polesine,45.01805121914087,11.737206150333515
28006,Arre,45.213122072563856,11.932023369860072
24007,Arsiero,45.84649294075835,11.303472024558948
25004,ArsiÃ¨,45.97442292820047,11.753292245567906
28007,Arzergrande,45.26477965217385,12.061301699211544
24008,Arzignano,45.528023734655775,11.343592683452705
24009,Asiago,45.91280320475041,11.501881356023564
24010,Asigliano Veneto,45.31001271455997,11.454737016956235
26003,Asolo,45.78936215983719,11.914900672366295
25005,Auronzo di Cadore,46.56275847047704,12.362396404612825
23005,Badia Calavena,45.573836919729686,11.157910451820296
29004,Badia Polesine,45.09126206212471,11.49390830712686
28008,Bagnoli di Sopra,45.1816381151531,11.901603244881715
29005,Bagnolo di Po,45.006150490231676,11.504904500000876
28009,Baone,45.25293777648479,11.671767395159755
24124,Barbarano Mossano,45.407917023263536,11.574393639674028
28010,Barbona,45.11296355821269,11.6767746611588
23006,Bardolino,45.53212118031233,10.691481775588771
24012,Bassano del Grappa,45.77153225048529,11.715874809450769
28011,Battaglia Terme,45.2914976884496,11.7797102188779
23007,Belfiore,45.364063844096464,11.229569561261675
25006,Belluno,46.13557585873874,12.19882501473708
29006,Bergantino,45.068563084159166,11.253510408226477
23008,Bevilacqua,45.215351591797535,11.39435905872147
28012,Boara Pisani,45.12380133038135,11.803867810114703
24013,Bolzano Vicentino,45.59509136030034,11.620771976877133
23009,Bonavigo,45.24463106334505,11.288107049995821
25007,Borca di Cadore,46.4328036426688,12.214779781135533
25074,Borgo Valbelluna,46.026849729538895,12.106194412798457
28107,Borgo Veneto,45.214027772493104,11.54091916145108
28013,Borgoricco,45.535548854288386,11.964595010192461
26004,Borso del Grappa,45.831902405641124,11.78751738485452
29007,Bosaro,45.00794661265282,11.776628708497709
23010,Boschi Sant'Anna,45.20582324252286,11.371348780645071
23011,Bosco Chiesanuova,45.6487592425659,11.036494762211923
28014,Bovolenta,45.27038082488023,11.943934357603128
23012,Bovolone,45.26970672496635,11.12312861578081
26005,Breda di Piave,45.7176805151608,12.342190372273615
24014,Breganze,45.70335442997761,11.576593889317232
24015,Brendola,45.46235449537395,11.454391557122973
23013,Brentino Belluno,45.6611288418896,10.883475556065148
23014,Brenzone sul Garda,45.69715169831525,10.775511244965665
24016,Bressanvido,45.63825715509873,11.636360682946126
24017,Brogliano,45.58941544031922,11.332403596617072
28015,Brugine,45.29355099686424,11.990548930840891
23015,Bussolengo,45.46777679472767,10.852673473861143
23016,Buttapietra,45.34293736173154,10.996820445933675
28016,Cadoneghe,45.46062565367467,11.914666324129312
26006,Caerano di San Marco,45.779703173185474,11.99766850973376
25008,Calalzo di Cadore,46.47251486353667,12.286495447176009
23017,Caldiero,45.40305000073843,11.176554795437408
24018,Caldogno,45.61149800444114,11.51053594622706
29008,Calto,44.9971498494181,11.350633184664186
24019,Caltrano,45.791942939148576,11.476220000341453
24020,Calvene,45.78420697209258,11.513897140178244
24021,Camisano Vicentino,45.526828963079694,11.714650943261383
27002,Campagna Lupia,45.34894802786247,12.164774304527537
24022,Campiglia dei Berici,45.331599183623545,11.54433994303041
28020,Campo San Martino,45.55597860664004,11.829574919276412
